Customer_Age ,Customer_income ,Home_ownership,Employment_length,Purpose_of_loan,Loan_risk_grade,Loan_amount ,Interest_rate,Loan_Status,Loan_amount_as_%_of_income,Previous_default_history,Credit_history_length,person_emp_length_clean,loan_int_rate_clean
24,72000,RENT,5,EDUCATION,D,7400,15.65,0,0.1,Y,3,5,15.65
24,56000,OWN,8,EDUCATION,B,2000,11.49,0,0.04,N,2,8,11.49
24,20796,RENT,2,VENTURE,A,7500,7.88,1,0.36,N,3,2,7.88
24,23196,RENT,1,EDUCATION,D,7500,13.24,1,0.32,N,2,1,13.24
24,56000,MORTGAGE,5,VENTURE,A,13000,8.94,0,0.23,N,3,5,8.94
24,30000,RENT,8,EDUCATION,A,7500,5.79,0,0.25,N,2,8,5.79
24,50160,MORTGAGE,2,EDUCATION,D,6000,15.62,1,0.12,N,2,4,15.62
24,56533,MORTGAGE,,HOMEIMPROVEMENT,B,20000,11.11,0,0.35,N,2,0,11.11
24,40000,RENT,1,PERSONAL,A,7500,5.79,0,0.19,N,4,1,5.79
24,40000,RENT,0,DEBTCONSOLIDATION,B,7500,11.36,0,0.19,N,4,0,11.36
24,57000,MORTGAGE,0,MEDICAL,B,2400,12.69,0,0.04,N,4,0,12.69
24,57000,MORTGAGE,8,HOMEIMPROVEMENT,B,19725,9.99,0,0.35,N,2,8,9.99
24,57000,MORTGAGE,8,EDUCATION,A,6000,5.99,0,0.11,N,3,8,5.99
24,57000,MORTGAGE,5,EDUCATION,A,8000,5.42,0,0.14,N,3,5,5.42
24,57000,MORTGAGE,8,VENTURE,D,14000,14.91,0,0.25,N,4,8,14.91
24,50000,RENT,2,HOMEIMPROVEMENT,B,7500,10.01,0,0.15,N,3,2,10.01
24,55000,RENT,0,EDUCATION,A,7500,6.03,0,0.14,N,3,0,6.03
24,51000,MORTGAGE,8,DEBTCONSOLIDATION,B,12000,,1,0.24,N,3,8,10.99
24,57000,OWN,8,EDUCATION,A,9000,8,0,0.16,N,4,8,8
24,57000,MORTGAGE,3,VENTURE,A,5500,8,0,0.1,N,3,3,8
24,55000,RENT,1,HOMEIMPROVEMENT,B,7500,12.53,0,0.14,N,2,1,12.53
24,57431,MORTGAGE,8,PERSONAL,A,4000,6.76,0,0.07,N,3,8,6.76
24,68000,RENT,0,PERSONAL,B,7500,11.99,0,0.11,N,2,0,11.99
24,57600,MORTGAGE,8,HOMEIMPROVEMENT,A,10500,6.62,0,0.18,N,3,4,6.62
24,57600,MORTGAGE,,HOMEIMPROVEMENT,A,3300,5.42,0,0.06,N,4,0,5.42
24,57600,MORTGAGE,9,VENTURE,B,6500,,0,0.11,N,2,9,10.99
24,69996,RENT,5,VENTURE,A,7500,7.49,0,0.11,N,2,5,7.49
24,79992,RENT,0,DEBTCONSOLIDATION,B,7500,10.71,0,0.09,N,4,0,10.71
24,79500,RENT,2,VENTURE,D,7500,16.89,1,0.09,N,4,2,16.89
24,100300,RENT,3,MEDICAL,B,7500,11.49,0,0.07,N,4,3,11.49
24,57996,MORTGAGE,5,HOMEIMPROVEMENT,B,2400,11.89,0,0.04,N,4,5,11.89
24,20400,RENT,3,VENTURE,C,7550,14.79,1,0.37,N,4,3,14.79
24,58000,MORTGAGE,8,DEBTCONSOLIDATION,A,15700,7.9,0,0.27,N,3,8,7.9
24,58000,MORTGAGE,3,EDUCATION,D,11000,16.77,0,0.19,N,4,3,16.77
24,58000,MORTGAGE,3,PERSONAL,D,15000,,0,0.26,N,4,3,15.31
24,58000,MORTGAGE,5,DEBTCONSOLIDATION,A,7000,6.99,0,0.12,N,4,5,6.99
24,58000,MORTGAGE,3,HOMEIMPROVEMENT,A,6000,5.42,0,0.1,N,4,3,5.42
24,58000,MORTGAGE,8,DEBTCONSOLIDATION,A,3000,5.42,0,0.05,N,4,8,5.42
24,76554,RENT,8,HOMEIMPROVEMENT,D,7600,12.61,0,0.1,N,2,8,12.61
24,52000,MORTGAGE,8,EDUCATION,D,5000,15.28,1,0.1,N,4,8,15.28
24,58000,MORTGAGE,8,EDUCATION,C,8000,13.43,0,0.14,N,4,8,13.43
24,96408,RENT,1,EDUCATION,C,7700,12.53,0,0.08,Y,4,1,12.53
24,24000,RENT,0,HOMEIMPROVEMENT,D,7750,17.27,1,0.32,N,3,0,17.27
24,30000,RENT,6,EDUCATION,E,7750,,0,0.26,Y,2,6,16.82
24,33000,RENT,2,VENTURE,F,7750,,1,0.23,N,2,2,18.535
24,58000,MORTGAGE,6,DEBTCONSOLIDATION,A,2200,7.4,0,0.04,N,3,6,7.4
24,58000,MORTGAGE,0,HOMEIMPROVEMENT,A,3500,7.68,0,0.06,N,2,0,7.68
24,33600,RENT,1,PERSONAL,D,7800,16.49,1,0.23,N,4,1,16.49
24,40000,RENT,1,MEDICAL,A,7800,,0,0.2,N,2,1,7.49
24,45000,RENT,3,PERSONAL,A,7800,7.51,0,0.17,N,3,3,7.51
24,54000,RENT,2,DEBTCONSOLIDATION,A,7800,7.9,0,0.14,N,4,2,7.9
24,49000,RENT,2,VENTURE,D,7800,15.62,1,0.16,N,2,2,15.62
24,26000,RENT,3,MEDICAL,B,7850,9.96,0,0.3,N,2,3,9.96
24,16000,RENT,0,HOMEIMPROVEMENT,C,8000,13.57,1,0.5,N,2,0,13.57
24,19200,RENT,1,HOMEIMPROVEMENT,C,8000,13.61,1,0.42,Y,3,1,13.61
24,20000,RENT,5,EDUCATION,B,8000,10.99,1,0.4,N,4,5,10.99
24,20000,RENT,0,MEDICAL,C,8000,12.41,1,0.4,Y,4,0,12.41
24,53000,MORTGAGE,6,MEDICAL,D,5000,15.62,1,0.09,N,4,6,15.62
24,22100,RENT,4,EDUCATION,C,8000,13.23,1,0.36,N,2,4,13.23
24,23000,RENT,0,HOMEIMPROVEMENT,C,8000,13.49,1,0.35,N,4,0,13.49
24,59000,MORTGAGE,5,PERSONAL,A,8000,6.54,0,0.14,N,4,5,6.54
24,27000,RENT,3,VENTURE,A,8000,8.9,0,0.3,N,4,3,8.9
24,59393,MORTGAGE,4,DEBTCONSOLIDATION,B,2400,12.69,0,0.04,N,4,4,12.69
24,59500,MORTGAGE,0,EDUCATION,B,4200,10.59,0,0.07,N,2,0,10.59
24,28000,RENT,9,DEBTCONSOLIDATION,C,8000,12.84,0,0.29,N,4,9,12.84
24,28590,RENT,7,MEDICAL,D,8000,15.65,0,0.28,Y,2,7,15.65
24,28800,RENT,5,MEDICAL,A,8000,,0,0.28,N,2,5,7.49
24,30000,RENT,3,MEDICAL,E,8000,,0,0.27,Y,2,3,16.82
24,30000,RENT,8,PERSONAL,B,8000,9.25,0,0.27,N,2,8,9.25
24,60000,MORTGAGE,8,PERSONAL,A,18000,7.9,0,0.3,N,3,8,7.9
24,30000,RENT,7,MEDICAL,C,8000,13.61,0,0.27,Y,3,7,13.61
24,30000,RENT,5,VENTURE,C,8000,14.26,0,0.27,Y,2,5,14.26
24,60000,MORTGAGE,8,EDUCATION,A,10000,6.03,0,0.17,N,3,8,6.03
24,31200,RENT,7,MEDICAL,B,8000,11.49,0,0.26,N,2,7,11.49
24,60000,MORTGAGE,7,MEDICAL,A,20000,7.9,0,0.33,N,4,7,7.9
24,54000,MORTGAGE,6,HOMEIMPROVEMENT,C,6300,14.65,1,0.12,Y,2,6,14.65
24,60000,MORTGAGE,8,EDUCATION,B,7000,11.71,0,0.12,N,2,8,11.71
24,29000,RENT,4,HOMEIMPROVEMENT,B,8000,12.42,1,0.28,N,2,4,12.42
24,35000,RENT,8,EDUCATION,A,8000,6.03,0,0.23,N,2,4,6.03
24,60000,MORTGAGE,,VENTURE,A,12000,7.9,0,0.2,N,3,0,7.9
24,60000,MORTGAGE,6,DEBTCONSOLIDATION,A,10000,8.9,0,0.17,N,2,6,8.9
24,60000,MORTGAGE,8,EDUCATION,B,3000,10.65,0,0.05,N,2,8,10.65
24,60000,MORTGAGE,9,HOMEIMPROVEMENT,B,1500,12.42,0,0.03,N,2,9,12.42
24,60000,MORTGAGE,2,DEBTCONSOLIDATION,B,10000,11.71,0,0.17,N,2,2,11.71
24,60000,MORTGAGE,9,VENTURE,A,3000,7.51,0,0.05,N,4,9,7.51
24,36000,RENT,8,VENTURE,B,8000,11.48,0,0.22,N,4,8,11.48
24,60000,MORTGAGE,4,EDUCATION,A,4000,7.9,0,0.07,N,3,4,7.9
24,37648,RENT,0,MEDICAL,A,8000,7.29,0,0.21,N,2,0,7.29
24,54000,MORTGAGE,1,DEBTCONSOLIDATION,A,1500,5.42,1,0.03,N,3,1,5.42
24,37876,RENT,4,MEDICAL,B,8000,9.63,0,0.21,N,2,4,9.63
24,38000,RENT,8,MEDICAL,B,8000,11.49,0,0.21,N,2,8,11.49
24,60000,MORTGAGE,8,MEDICAL,A,17000,7.49,0,0.28,N,2,8,7.49
24,34000,RENT,0,VENTURE,D,8000,16.49,1,0.24,Y,3,0,16.49
24,40000,RENT,4,MEDICAL,B,8000,9.63,0,0.2,N,3,4,9.63
24,40000,RENT,2,PERSONAL,A,8000,6.17,0,0.2,N,2,2,6.17
24,40000,RENT,0,VENTURE,B,8000,10.25,0,0.2,N,4,0,10.25
24,60000,OWN,1,VENTURE,D,15000,16.89,0,0.25,Y,2,1,16.89
24,60000,MORTGAGE,3,EDUCATION,A,4000,5.42,0,0.07,N,2,3,5.42
24,40560,RENT,5,VENTURE,A,8000,7.66,0,0.2,N,2,5,7.66
24,60000,MORTGAGE,0,DEBTCONSOLIDATION,A,6000,5.42,0,0.1,N,3,0,5.42
24,60000,MORTGAGE,0,VENTURE,B,8500,10.59,0,0.14,N,3,0,10.59
24,41600,RENT,0,MEDICAL,B,8000,10.59,0,0.19,N,4,0,10.59
24,60000,MORTGAGE,8,PERSONAL,C,9600,12.99,0,0.16,N,2,8,12.99
24,42000,RENT,2,EDUCATION,B,8000,,0,0.19,N,4,2,10.99
24,36000,RENT,1,PERSONAL,B,8000,12.12,1,0.22,N,4,1,12.12
24,36000,RENT,6,PERSONAL,D,8000,15.28,1,0.22,N,3,6,15.28
24,42000,RENT,0,VENTURE,B,8000,9.25,0,0.19,N,3,0,9.25
24,36000,RENT,2,VENTURE,D,8000,14.96,1,0.22,Y,2,2,14.96
24,36816,RENT,0,PERSONAL,B,8000,10.65,1,0.22,N,4,0,10.65
24,60000,MORTGAGE,8,MEDICAL,C,21000,,0,0.35,Y,4,8,13.48
24,60000,MORTGAGE,2,MEDICAL,B,12000,9.99,0,0.2,N,2,2,9.99
24,43300,RENT,4,MEDICAL,A,8000,7.29,0,0.18,N,4,4,7.29
24,39000,RENT,4,DEBTCONSOLIDATION,C,8000,,1,0.21,N,2,4,13.48
24,45000,RENT,8,MEDICAL,C,8000,12.73,0,0.18,Y,4,8,12.73
24,60000,MORTGAGE,8,MEDICAL,A,13000,7.29,0,0.22,N,2,8,7.29
24,40000,RENT,5,EDUCATION,B,8000,9.88,1,0.2,N,2,5,9.88
24,46700,RENT,5,EDUCATION,D,8000,15.65,0,0.17,Y,3,5,15.65
24,60000,OWN,7,PERSONAL,B,10000,10.37,0,0.17,N,4,7,10.37
24,42000,RENT,8,MEDICAL,D,8000,16.29,1,0.19,N,4,8,16.29
24,60000,MORTGAGE,7,VENTURE,B,15850,11.11,0,0.26,N,3,4,11.11
24,48000,RENT,,DEBTCONSOLIDATION,A,8000,7.51,0,0.17,N,4,0,7.51
24,48500,RENT,5,MEDICAL,C,8000,15.96,0,0.16,N,3,5,15.96
24,49992,RENT,5,VENTURE,D,8000,15.95,0,0.16,Y,2,5,15.95
24,50000,RENT,8,PERSONAL,C,8000,15.96,0,0.16,N,3,8,15.96
24,50000,RENT,3,MEDICAL,B,8000,12.42,0,0.16,N,2,3,12.42
24,60000,MORTGAGE,8,VENTURE,B,9000,,0,0.15,N,4,8,10.99
24,50000,RENT,9,DEBTCONSOLIDATION,B,8000,9.99,0,0.16,N,2,9,9.99
24,60000,OWN,4,EDUCATION,A,5000,5.79,0,0.08,N,3,4,5.79
24,60000,MORTGAGE,8,VENTURE,B,12000,9.62,0,0.2,N,4,8,9.62
24,60000,MORTGAGE,2,MEDICAL,B,9700,8.88,0,0.16,N,3,2,8.88
24,50000,RENT,0,EDUCATION,A,8000,7.74,0,0.16,N,4,0,7.74
24,52000,RENT,3,HOMEIMPROVEMENT,B,8000,10.99,0,0.15,N,4,3,10.99
24,52000,RENT,2,MEDICAL,A,8000,7.51,0,0.15,N,4,2,7.51
24,52000,RENT,1,EDUCATION,C,8000,11.78,0,0.15,N,3,1,11.78
24,60000,MORTGAGE,3,VENTURE,A,20000,7.88,0,0.33,N,2,3,7.88
24,46500,RENT,2,HOMEIMPROVEMENT,C,8000,15.23,1,0.17,Y,2,2,15.23
24,52800,RENT,1,MEDICAL,C,8000,12.87,0,0.15,Y,3,1,12.87
24,60000,MORTGAGE,8,DEBTCONSOLIDATION,C,14000,,0,0.23,N,2,8,13.48
24,54000,RENT,7,MEDICAL,A,8000,7.88,0,0.15,N,3,7,7.88
24,54000,RENT,3,MEDICAL,A,8000,8.07,0,0.15,N,4,3,8.07
24,60000,MORTGAGE,5,DEBTCONSOLIDATION,A,14000,7.51,0,0.23,N,2,5,7.51
24,55000,RENT,8,HOMEIMPROVEMENT,C,8000,13.8,0,0.15,Y,2,8,13.8
24,60000,MORTGAGE,6,PERSONAL,C,2400,13.61,0,0.04,Y,4,6,13.61
24,60000,MORTGAGE,2,PERSONAL,B,2600,11.49,0,0.04,N,4,2,11.49
24,56000,RENT,2,MEDICAL,A,8000,7.51,0,0.14,N,3,2,7.51
24,60000,MORTGAGE,3,HOMEIMPROVEMENT,B,4000,11.86,0,0.07,N,2,3,11.86
24,60000,MORTGAGE,5,DEBTCONSOLIDATION,A,7000,7.14,0,0.12,N,2,5,7.14
24,60000,MORTGAGE,9,PERSONAL,A,5000,7.88,0,0.08,N,4,9,7.88
24,52000,RENT,8,EDUCATION,C,8000,13.99,1,0.15,Y,2,8,13.99
24,58033,RENT,4,VENTURE,B,8000,10.62,0,0.14,N,2,4,10.62
24,60000,RENT,3,HOMEIMPROVEMENT,D,8000,14.59,0,0.13,Y,3,4,14.59
24,60000,MORTGAGE,,MEDICAL,A,5000,7.14,0,0.08,N,2,0,7.14
24,55000,RENT,2,HOMEIMPROVEMENT,D,8000,14.61,1,0.15,N,2,2,14.61
24,54000,RENT,7,PERSONAL,B,5200,10.37,1,0.1,N,3,7,10.37
24,53000,RENT,5,EDUCATION,A,5100,7.9,0,0.1,N,2,5,7.9
24,60000,OWN,9,MEDICAL,B,15000,11.83,0,0.25,N,4,9,11.83
24,10668,RENT,0,HOMEIMPROVEMENT,A,5000,7.88,1,0.47,N,3,0,7.88
24,10800,RENT,8,VENTURE,A,5000,7.88,1,0.46,N,2,8,7.88
24,13000,RENT,0,DEBTCONSOLIDATION,A,5000,8,1,0.38,N,2,0,8
24,60000,MORTGAGE,3,VENTURE,B,4000,12.18,0,0.07,N,2,3,12.18
24,60000,MORTGAGE,0,EDUCATION,D,8000,15.65,0,0.13,N,3,0,15.65
24,60000,MORTGAGE,6,HOMEIMPROVEMENT,A,14000,8.94,0,0.23,N,2,6,8.94
24,16800,RENT,1,EDUCATION,C,5000,14.22,1,0.3,Y,4,1,14.22
24,19200,RENT,2,DEBTCONSOLIDATION,B,5000,,1,0.26,N,3,2,10.99
24,60000,MORTGAGE,8,PERSONAL,D,10000,14.42,0,0.17,N,4,8,14.42
24,60000,MORTGAGE,7,PERSONAL,A,10000,9.63,0,0.17,N,2,7,9.63
24,60000,MORTGAGE,8,VENTURE,A,2800,9.32,0,0.05,N,4,8,9.32
24,54000,MORTGAGE,8,VENTURE,D,1500,14.42,1,0.03,Y,2,8,14.42
24,54000,MORTGAGE,9,MEDICAL,A,10000,9.63,1,0.19,N,2,9,9.63
24,21000,RENT,0,DEBTCONSOLIDATION,A,5000,8.63,0,0.24,N,2,0,8.63
24,21120,RENT,3,PERSONAL,B,5000,11.71,1,0.24,N,2,3,11.71
24,60000,MORTGAGE,0,PERSONAL,B,15000,11.89,0,0.25,N,2,0,11.89
24,21648,RENT,8,EDUCATION,A,5000,6.99,0,0.23,N,3,8,6.99
24,22992,RENT,1,HOMEIMPROVEMENT,C,5000,13.06,1,0.22,Y,3,1,13.06
24,23000,RENT,1,PERSONAL,C,5000,,0,0.22,Y,2,1,13.48
24,23000,RENT,2,EDUCATION,B,5000,,0,0.22,N,4,2,10.99
24,24000,RENT,4,DEBTCONSOLIDATION,A,5000,7.51,0,0.21,N,2,4,7.51
24,60204,MORTGAGE,8,PERSONAL,A,10000,7.49,0,0.17,N,4,8,7.49
24,60400,OWN,5,VENTURE,A,5500,8,0,0.09,N,2,5,8
24,54417,MORTGAGE,1,MEDICAL,C,9525,11.66,1,0.18,Y,3,1,11.66
24,25000,RENT,5,VENTURE,A,5000,,0,0.2,N,4,5,7.49
24,54500,MORTGAGE,7,MEDICAL,D,8000,17.49,1,0.15,N,4,7,17.49
24,25000,RENT,3,VENTURE,A,5000,7.14,0,0.2,N,2,3,7.14
24,60500,MORTGAGE,8,EDUCATION,A,6000,7.68,0,0.1,N,4,8,7.68
24,25000,RENT,2,DEBTCONSOLIDATION,A,5000,8.94,1,0.2,N,2,2,8.94
24,26400,RENT,5,MEDICAL,A,5000,7.9,0,0.19,N,4,5,7.9
24,55000,MORTGAGE,8,EDUCATION,B,6000,11.99,1,0.11,N,2,8,11.99
24,61000,MORTGAGE,7,PERSONAL,D,3000,15.62,0,0.05,N,3,7,15.62
24,27500,RENT,0,PERSONAL,E,5000,15.07,1,0.18,Y,4,0,15.07
24,61000,MORTGAGE,4,PERSONAL,D,10000,15.65,0,0.16,N,3,4,15.65
24,55000,MORTGAGE,,HOMEIMPROVEMENT,A,7000,7.14,1,0.13,N,3,0,7.14
24,62000,RENT,3,VENTURE,B,8000,11.14,0,0.13,N,4,3,11.14
24,56400,RENT,4,MEDICAL,D,8000,14.96,1,0.14,Y,2,4,14.96
24,64000,RENT,8,HOMEIMPROVEMENT,A,8000,7.9,0,0.13,N,2,8,7.9
24,61080,MORTGAGE,8,VENTURE,B,25000,10.59,0,0.41,N,3,8,10.59
24,61147,MORTGAGE,5,MEDICAL,A,17000,6.03,0,0.28,N,4,5,6.03
24,61193,MORTGAGE,5,EDUCATION,A,6400,8.59,0,0.1,N,3,5,8.59
24,65000,RENT,3,EDUCATION,B,8000,12.69,0,0.12,N,3,3,12.69
24,65000,RENT,5,PERSONAL,B,8000,9.63,0,0.12,N,3,5,9.63
24,55200,MORTGAGE,0,MEDICAL,D,6000,14.42,1,0.11,Y,2,0,14.42
24,61200,MORTGAGE,5,EDUCATION,B,5100,10.51,0,0.08,N,2,5,10.51
24,55200,MORTGAGE,8,EDUCATION,C,9600,10.78,1,0.17,N,4,8,10.78
24,61289,MORTGAGE,8,PERSONAL,B,2000,11.49,0,0.03,N,4,8,11.49
24,65004,RENT,4,PERSONAL,A,8000,8.49,0,0.12,N,2,4,8.49
24,61500,MORTGAGE,8,VENTURE,B,3200,11.49,0,0.05,N,2,8,11.49
24,61650,MORTGAGE,4,HOMEIMPROVEMENT,A,6500,6.03,0,0.11,N,4,4,6.03
24,61717,OWN,8,PERSONAL,A,3200,7.68,0,0.05,N,4,8,7.68
24,61781,MORTGAGE,6,EDUCATION,B,17800,10.25,0,0.29,N,3,6,10.25
24,70000,RENT,8,DEBTCONSOLIDATION,B,8000,11.71,0,0.11,N,3,8,11.71
24,61800,MORTGAGE,0,MEDICAL,A,1500,6.54,0,0.02,N,2,0,6.54
24,70000,RENT,2,EDUCATION,C,8000,14.72,0,0.11,Y,3,2,14.72
24,62000,MORTGAGE,7,PERSONAL,A,6200,,0,0.1,N,3,7,7.49
24,62000,MORTGAGE,8,PERSONAL,A,5875,6.03,0,0.09,N,2,8,6.03
24,62000,MORTGAGE,8,EDUCATION,C,10000,13.99,0,0.16,Y,4,8,13.99
24,72000,RENT,5,HOMEIMPROVEMENT,B,8000,10,0,0.11,N,3,5,10
24,74000,RENT,7,EDUCATION,D,8000,15.62,0,0.11,Y,2,7,15.62
24,62000,MORTGAGE,8,DEBTCONSOLIDATION,A,10000,7.49,0,0.16,N,3,8,7.49
24,75000,RENT,5,VENTURE,D,8000,15.37,0,0.11,Y,3,5,15.37
24,77000,RENT,2,DEBTCONSOLIDATION,A,8000,7.51,0,0.1,N,3,2,7.51
24,79000,RENT,0,MEDICAL,B,8000,11.49,0,0.1,N,2,0,11.49
24,62000,MORTGAGE,6,HOMEIMPROVEMENT,B,10000,10.74,0,0.16,N,2,6,10.74
24,62000,MORTGAGE,8,EDUCATION,B,7750,10,0,0.13,N,2,8,10
24,62000,MORTGAGE,1,MEDICAL,A,20000,,0,0.32,N,4,1,7.49
24,81600,RENT,5,VENTURE,C,8000,12.84,0,0.1,Y,2,5,12.84
24,56000,MORTGAGE,1,VENTURE,C,10000,14.35,1,0.18,N,4,1,14.35
24,85000,RENT,0,HOMEIMPROVEMENT,C,8000,13.06,0,0.09,Y,2,0,13.06
24,62000,MORTGAGE,8,VENTURE,E,20000,16.7,0,0.32,N,2,8,16.7
24,62000,MORTGAGE,2,HOMEIMPROVEMENT,B,8000,10.08,0,0.13,N,3,2,10.08
24,56004,MORTGAGE,5,DEBTCONSOLIDATION,B,6000,10,1,0.11,N,3,5,10
24,97000,RENT,3,EDUCATION,D,8000,15.31,0,0.08,N,3,3,15.31
24,105000,RENT,8,DEBTCONSOLIDATION,A,8000,7.51,0,0.08,N,3,8,7.51
24,62100,MORTGAGE,8,EDUCATION,C,6000,12.53,0,0.1,N,2,8,12.53
24,108000,RENT,8,DEBTCONSOLIDATION,B,8000,9.88,0,0.07,N,4,8,9.88
24,110000,RENT,4,PERSONAL,A,8000,5.99,0,0.07,N,3,4,5.99
24,116664,RENT,8,VENTURE,D,8000,16.49,0,0.07,N,3,8,16.49
24,62400,MORTGAGE,8,PERSONAL,A,4000,8.9,0,0.06,N,4,8,8.9
24,131400,RENT,8,DEBTCONSOLIDATION,D,8000,15.99,1,0.06,N,2,8,15.99
24,62400,MORTGAGE,3,EDUCATION,A,9500,6.54,0,0.15,N,2,3,6.54
24,85000,RENT,6,HOMEIMPROVEMENT,A,8100,,0,0.1,N,2,6,7.49
24,60500,RENT,1,DEBTCONSOLIDATION,D,8150,17.27,1,0.13,Y,3,1,17.27
24,62500,MORTGAGE,2,VENTURE,A,6000,5.79,0,0.1,N,2,2,5.79
24,40944,RENT,0,MEDICAL,B,8200,11.36,0,0.2,N,2,0,11.36
24,62500,MORTGAGE,8,DEBTCONSOLIDATION,B,16000,10.38,0,0.26,N,3,8,10.38
24,62500,OWN,8,PERSONAL,C,6500,13.22,0,0.1,Y,2,8,13.22
24,62677,MORTGAGE,2,MEDICAL,B,6000,10.2,0,0.1,N,2,2,10.2
24,83000,RENT,4,HOMEIMPROVEMENT,A,8300,7.88,0,0.1,N,2,4,7.88
24,56972,OWN,6,DEBTCONSOLIDATION,E,15000,16.4,1,0.26,N,4,6,16.4
24,63000,MORTGAGE,0,VENTURE,B,6000,9.91,0,0.1,N,4,0,9.91
24,31200,RENT,2,VENTURE,C,8400,13.23,0,0.27,N,3,2,13.23
24,63000,MORTGAGE,5,VENTURE,B,20000,11.49,0,0.32,N,3,5,11.49
24,35000,RENT,3,VENTURE,C,8400,12.87,0,0.24,Y,4,3,12.87
24,36100,RENT,3,EDUCATION,B,8400,11.26,0,0.23,N,4,3,11.26
24,63000,MORTGAGE,8,VENTURE,B,6300,11.49,0,0.1,N,4,8,11.49
24,45000,RENT,1,EDUCATION,A,8400,7.9,0,0.19,N,3,1,7.9
24,63000,OWN,0,HOMEIMPROVEMENT,A,17600,8.94,0,0.28,N,4,0,8.94
24,63000,MORTGAGE,8,PERSONAL,F,20000,19.13,0,0.32,Y,3,8,19.13
24,63000,MORTGAGE,8,PERSONAL,C,11400,13.79,0,0.18,N,4,8,13.79
24,63000,MORTGAGE,0,MEDICAL,C,15000,13.47,0,0.24,N,4,0,13.47
24,57000,MORTGAGE,9,MEDICAL,C,6500,13.04,1,0.11,Y,4,9,13.04
24,63000,MORTGAGE,8,DEBTCONSOLIDATION,B,7000,,0,0.11,N,3,8,10.99
24,60000,RENT,7,PERSONAL,A,8400,6.17,0,0.14,N,3,7,6.17
24,66000,RENT,0,HOMEIMPROVEMENT,A,8400,,0,0.13,N,2,0,7.49
24,68000,RENT,2,VENTURE,A,8400,7.88,0,0.12,N,3,2,7.88
24,75000,RENT,1,EDUCATION,B,8400,12.69,0,0.11,N,4,1,12.69
24,100000,RENT,8,MEDICAL,C,8400,13.06,0,0.08,N,4,4,13.06
24,63554,MORTGAGE,,DEBTCONSOLIDATION,A,2500,7.51,0,0.04,N,2,0,7.51
24,57655,MORTGAGE,7,MEDICAL,D,9925,15.58,1,0.17,N,2,7,15.58
24,63996,MORTGAGE,5,VENTURE,B,6000,10.75,0,0.09,N,3,5,10.75
24,63996,MORTGAGE,8,MEDICAL,A,14400,9.63,0,0.23,N,4,8,9.63
24,64000,MORTGAGE,5,VENTURE,D,12000,16.77,0,0.19,N,2,5,16.77
24,64000,OWN,1,EDUCATION,A,3000,,0,0.05,N,4,1,7.49
24,64000,MORTGAGE,5,DEBTCONSOLIDATION,A,5200,7.9,0,0.08,N,3,5,7.9
24,64000,MORTGAGE,8,VENTURE,B,8000,,0,0.13,N,3,8,10.99
24,29004,RENT,5,MEDICAL,B,8725,12.18,0,0.3,N,2,5,12.18
24,64000,MORTGAGE,8,VENTURE,B,4000,10,0,0.06,N,2,8,10
24,64000,MORTGAGE,3,MEDICAL,B,13225,10.37,0,0.21,N,3,3,10.37
24,64000,MORTGAGE,8,VENTURE,B,1200,10.74,0,0.02,N,4,8,10.74
24,64000,MORTGAGE,0,EDUCATION,A,12000,8.59,0,0.19,N,3,0,8.59
24,25000,RENT,2,MEDICAL,B,9000,11.48,1,0.36,N,2,2,11.48
24,64000,MORTGAGE,9,DEBTCONSOLIDATION,B,10000,,0,0.16,N,4,9,10.99
24,26400,RENT,3,HOMEIMPROVEMENT,B,9000,11.49,1,0.34,N,3,3,11.49
24,64000,MORTGAGE,8,VENTURE,B,4800,12.21,0,0.07,N,4,8,12.21
24,31200,RENT,7,PERSONAL,B,9000,10.38,0,0.29,N,4,7,10.38
24,64500,MORTGAGE,8,EDUCATION,C,1200,14.72,0,0.02,N,2,8,14.72
24,34000,RENT,0,DEBTCONSOLIDATION,B,9000,11.83,0,0.26,N,4,0,11.83
24,64656,MORTGAGE,8,EDUCATION,B,14500,10.99,0,0.22,N,4,8,10.99
24,34000,RENT,2,DEBTCONSOLIDATION,C,9000,13.16,0,0.26,N,3,2,13.16
24,64800,MORTGAGE,5,VENTURE,A,11000,5.79,0,0.17,N,3,5,5.79
24,30000,RENT,0,EDUCATION,D,9000,15.58,1,0.3,N,3,0,15.58
24,37000,RENT,5,VENTURE,A,9000,7.14,0,0.24,N,2,5,7.14
24,65000,MORTGAGE,2,VENTURE,B,12000,12.69,0,0.18,N,4,2,12.69
24,38400,RENT,6,DEBTCONSOLIDATION,A,9000,7.9,0,0.23,N,2,6,7.9
24,33996,RENT,1,EDUCATION,E,9000,16,1,0.26,Y,2,1,16
24,40000,RENT,1,VENTURE,B,9000,11.99,0,0.23,N,4,1,11.99
24,65000,MORTGAGE,3,PERSONAL,B,12000,9.91,0,0.18,N,3,3,9.91
24,65000,MORTGAGE,8,PERSONAL,B,6300,11.71,0,0.1,N,2,8,11.71
24,65000,MORTGAGE,3,EDUCATION,A,6000,6.03,0,0.09,N,3,3,6.03
24,65000,MORTGAGE,8,DEBTCONSOLIDATION,B,6600,10.65,0,0.1,N,2,8,10.65
24,65000,MORTGAGE,8,VENTURE,D,7200,17.58,0,0.11,Y,4,8,17.58
